,Songs,Listeners,Users_playcount,Particusercount,Duration
0,Tsuneni Ai,387,549,,725000
1,Tsuneni Ai,387,549,,725000
2,Up into the Rafters,486,750,,0
3,Euphoria,697,1029,,219000
4,Wall of Silver,556,889,,138000
5,Ai,512,774,,62000
6,Babushka-Yai Ya,541,828,,103000
7,Book of the Moon,620,978,,127000
8,Cape of Diamonds,628,1006,,234000
9,Turn the Skies of Blue On,809,1247,,129000
10,Cormorant Bird,2971,4680,,207000
11,THE MEETINGS OF THE WATERS,9824,18692,,0
12,Valerie - BBC Radio 1 Live Lounge,26262,63641,,0
13,Amy Forever,4069,10076,,169000
14,Body and Soul,81962,185116,,201000
15,Arrested,4135,6303,,65000
16,Love Is A Losing Game - Live At The Mercury Music Awards,7868,16494,,0
17,Amy Lives,4336,7279,,135000
18,We're Still Friends - Live At The Union Chapel,7867,15830,,0
19,In The Studio,4513,7030,,65000
20,"Rehab - Live On Jools Holland, London / 2006",4921,8106,,0
21,Cynthia,4936,8158,,75000
22,Back To Black - Acapella / Album Medley,6450,13874,,0
23,The Name Of The Wave,6137,10387,,384000
24,Seperacao Fotos,5673,9045,,54000
25,Tears Dry on Their Own,803824,5797767,,186000
26,Like Smoke - Demo,5765,10059,,0
27,Kidnapping Amy,5795,9279,,105000
28,Holiday Texts,6131,9858,,52000
29,Some Unholy War - Down Tempo,38345,90764,,196000
30,Walk,7953,15203,,74000
31,What Is It About Men - Live At North Sea Jazz Festival,9332,19623,,0
32,Poetic Finale,7490,14103,,173000
33,Stronger Than Me,175088,881010,,214000
34,Opening,8354,13845,,58000
35,Floating Cathedral,1862,3758,,285000
36,Bleu Nuit,2071,4025,,245000
37,"Sincerely, Future Pollution",2160,4231,,241000
38,Western Questions,2181,4703,,280000
39,Sewer Blues,7192,19684,,277000
40,Moment,2455,4947,,345000
41,Skin Tone,2949,5646,,191000
42,Grifting,4372,8935,,261000
43,VELVET GLOVES & SPIT,5677,12935,,0
44,Western Questions,2181,4703,,280000
45,Sewer Blues,7192,19684,,277000
46,Moment,2455,4947,,345000
47,Skin Tone,2949,5646,,191000
48,Grifting,4372,8935,,261000
49,VELVET GLOVES & SPIT,5677,12935,,0
50,Biking (feat. Jay-Z And Tyler The Creator),21,166,,0
51,it gets more blue,1668,2932,,0
52,Loving,838,1404,,228000
53,Truth,2535,4530,,810000
54,Broken Halos,1788,3199,,180000
55,Aboard My Train,1916,3203,,195000
56,On the Level,11045,29196,,228000
57,Floating Cathedral,1862,3758,,285000
58,Bleu Nuit,2071,4025,,245000
59,"Sincerely, Future Pollution",2160,4231,,241000
60,Western Questions,2181,4703,,280000
61,Sewer Blues,7192,19684,,277000
62,Moment,2455,4947,,345000
63,Skin Tone,2949,5646,,191000
64,Grifting,4372,8935,,261000
65,VELVET GLOVES & SPIT,5677,12935,,0
66,Floating Cathedral,1862,3758,,285000
67,Bleu Nuit,2071,4025,,245000
68,"Sincerely, Future Pollution",2160,4231,,241000
69,Western Questions,2181,4703,,280000
70,Sewer Blues,7192,19684,,277000
71,Moment,2455,4947,,345000
72,Skin Tone,2949,5646,,191000
73,Grifting,4372,8935,,261000
74,VELVET GLOVES & SPIT,5677,12935,,0
75,Floating Cathedral,1862,3758,,285000
76,Bleu Nuit,2071,4025,,245000
77,"Sincerely, Future Pollution",2160,4231,,241000
78,Western Questions,2181,4703,,280000
79,Sewer Blues,7192,19684,,277000
80,Moment,2455,4947,,345000
81,Skin Tone,2949,5646,,191000
82,Grifting,4372,8935,,261000
83,VELVET GLOVES & SPIT,5677,12935,,0
84,Cai Yuanpei Hall 27,32,67,,414000
85,Skin Tone,2949,5646,,191000
86,Place To Call My Own - AK Version,811,1184,,0
87,Battle Cry,7379,11515,,151000
88,GET it TOgeTHEr,35987,127592,,250000
89,Aladdin,14231,34220,,253000
90,The Garden Is Overgrown,314,613,,0
91,Priestess - Mr Dan Edit,205,302,,0
92,Magpie Eyes,562,920,,214000
93,Bleeding Blue,1267,1986,,313000
94,Welcome To An Altered Universe,616,888,,0
95,Kathy’s Song - Recorded at Spotify Studios NYC,1263,1743,,0
96,The Fire,2224,4170,,0
97,See It So Clear - Acoustic,106,182,,0
98,The Warm Shoulder,197,321,,0
99,Waiting (10 Years),1264,3008,,244000
100,Before We’re Strangers - Demo Version,37,47,,0
101,DUCKWORTH.,52312,157572,,248000
102,GOD.,54842,161400,,248000
103,Fear.,57128,172486,,0
104,XXX. FEAT. U2.,48661,157067,,0
105,LOVE. FEAT. ZACARI.,47474,161947,,0
106,LUST.,63320,203774,,307000
107,HUMBLE.,106125,676635,,177000
108,PRIDE.,68083,241067,,275000
109,LOYALTY. FEAT. RIHANNA.,58252,195691,,0
110,FEEL.,71790,242421,,214000
111,ELEMENT.,74980,281031,,208000
112,YAH.,75539,263546,,160000
113,DNA.,85439,366457,,185000
114,BLOOD.,77183,224204,,118000
115,Visa,2138,3667,,0
116,There’s An Angel In The Shower,1917,3234,,0
117,Faure In Chrome,2386,4092,,0
118,DANCING IN THE SMOKE,3839,7328,,0
119,FALLING RIZLAS,2836,5005,,0
120,RUNNER,2921,5378,,0
121,X22RME,5965,13562,,304000
122,CYN,3168,5638,,0
123,Blue Window,3361,6061,,0
124,FANTASYNTH,3532,6291,,0
125,UNTITLED 7,3753,6703,,0
126,NIMBUS,3991,6783,,0
127,Journey To Reedham,1835,3911,,0
128,Raining On Hope Street,901,1605,,148000
129,In the clinches,1359,2341,,0
130,In the Morning I'll Be Better,10096,30200,,0
131,Du pouvoir,246,532,,0
132,Smoke Of Dreams - Radio Edit,1117,1520,,0
133,Preludes,3134,8782,,256000
134,L.A. Confidential,633,1128,,198000
135,Currency,6060,15141,,317000
136,Swoon,2028,3997,,205000
137,I Was Born,988,1601,,0
138,Day at Work,606,1180,,196000
139,Drunk Drivers/Killer Whales (Single Version),9592,25764,,220000
140,In Between,2838,6151,,235000
141,The Valley,675,1146,,0
142,I Figured You Out,12553,64780,,167000
143,Alles Verboten,676,1122,,0
144,Transition,430,997,,242000
145,pour it out,6630,18170,,217000
146,Sonny's Blues,796,1458,,233000
147,Different Now,5316,14623,,228000
148,Afterlife,585,1454,,284000
149,Real Death,17188,41280,,147000
150,River Mansion,329,566,,0
151,Hippopotamus,1153,2160,,227000
152,Another Youth,2227,4603,,261000
153,Night Dances,830,1427,,234000
154,Prepared,9029,27122,,321000
155,Sally Go Round The Roses,12466,36524,,218000
156,Hunting Song,18155,54684,,404000
157,Train Song,17947,48840,,285000
158,Lyke-Wake Dirge,14735,39579,,214000
159,Springtime Promises,17367,46647,,243000
160,Once I Had A Sweetheart,26025,73892,,275000
161,Light Flight,37506,124521,,206000
162,Goodbye Pork Pie Hat - (with audience),952,1668,,0
163,Light Flight,37506,124521,,206000
164,Sad Eyes,38589,210196,,227000
165,Merlin's Time,8647,23723,,162000
166,Merlin's Time,8647,23723,,162000
167,Midnight Rocks,6540,16689,,240000
168,Time Passages,38858,124309,,399000
169,Song On the Radio,13988,39233,,380000
170,On the Border,49075,163910,,209000
171,On the Border,49075,163910,,209000
172,She's Starlight,2020,5805,,167000
173,Sister Romance,1152,3252,,191000
174,Who Knows Where The Time Goes?,43112,130955,,386000
175,"Farewell, Farewell",31614,102908,,158000
176,"Farewell, Farewell",31614,102908,,158000
177,Vincent Van Gogh,8306,27842,,183000
178,Light Flight,37506,124521,,206000
179,Light Flight,37506,124521,,206000
180,Wildflowers,78394,311559,,189000
181,The Dreamer,9574,28361,,340000
182,Celebrate,18931,70939,,226000
183,Silicon Valley,17644,66448,,244000
184,Come Down,31124,136281,,176000
185,Your Prime,17787,64472,,237000
186,Water Fall (Interluuube),15922,55155,,118000
187,Room in Here,12909,38173,,0
188,Lite Weight,12554,42141,,206000
189,Parking Lot,21123,88489,,234000
190,Without You,11782,34823,,199000
191,Am I Wrong,25324,84166,,253000
192,Put Me Thru,24613,105234,,160000
193,The Season/Carry Me,9056,33298,,328000
194,The Waters,15656,45902,,174000
195,Heart Don't Stand a Chance,27146,109382,,0
196,The Bird,32975,135604,,217000
197,Illuminate,366,635,,0
198,The Egotist,78,252,,0
199,Time Is the Healer,78,247,,0
200,Juke Box Hero,210281,805071,,258000
201,18 and Life,269339,1810554,,230000
202,More Today Than Yesterday,910,2657,,0
203,Beat It - Single Version,246736,882319,,258000
204,Poison,569592,3734041,,271000
205,California Girls,310067,1216336,,157000
206,Walking on Broken Glass,202886,798653,,252000
207,"Signed, Sealed, Delivered (I'm Yours)",234636,813043,,160000
208,Fat Bottomed Girls - 2011 Remaster,49328,145700,,0
209,Youth,63931,335594,,230000
210,Gooey,223759,1391384,,289000
211,Lazarus,172067,811071,,382000
212,Life On Mars? - 1999 Remastered Version,71129,248377,,223000
213,Raspberry Beret,157546,639850,,212000
214,Kiss,333142,1350587,,225000
215,Go Your Own Way - 2004 Remastered Edition,24165,60572,,0
216,Dreams - 2004 Remastered Edition,32745,94475,,0
217,Little Lies,380931,1901270,,218000
218,The Chain,431414,2568346,,268000
219,Try Sleeping with a Broken Heart,295702,2069533,,249000
220,Team,528010,5244766,,193000
221,Royals,735380,8019199,,191000
222,Liability,49167,296540,,172000
223,Green Light,101213,929472,,234000
224,TWO WILDLY DIFFERENT PERSPECTIVES,16274,44315,,0
225,SMOOCHIE,12385,27883,,0
226,When the God of Love Returns There'll Be Hell to Pay,12069,28208,,0
227,A Bigger Paper Bag,12945,30480,,281000
228,Leaving LA,13552,31253,,791000
229,Birdie,15598,35619,,319000
230,Ballad Of The Dying Man,32255,105668,,290000
231,Things It Would Have Been Helpful to Know Before the Revolution,10651,22367,,258000
232,Total Entertainment Forever,27685,89841,,173000
233,Pure Comedy,31821,106242,,384000
234,Crazy In Love - BBC Session,13163,34122,,0
235,Landslide,39985,203573,,208000
236,Body Gold,44261,223607,,184000
237,Without You,48771,274235,,224000
238,All We Do,61829,299937,,214000
239,Ultralife,11324,39879,,212000
240,Technicolour Beat,112946,576974,,178000
241,Lose it,63260,306213,,229000
242,Drive,100696,443271,,196000
243,Eyes of a Panther,42981,299007,,217000
244,Going Underground,196428,882154,,173000
245,Flagpole Sitta,4358,21503,,212000
246,Don't Believe a Word,113722,460661,,138000
247,STANDARD,4316,15115,,209000
248,Mixtape 2003,9607,20714,,204000
249,Nobody's Watching,172,386,,196000
250,Gold,10057,48741,,238000
251,Nightrain,372169,2341794,,266000
252,Same Same,1087,4662,,197000
253,You Want Me,5260,25199,,164000
254,My Perfect Cousin - 2016 Remastered,213,362,,0
255,The Stage,26159,129298,,512000
256,You're In Love With a Psycho,18065,62757,,215000
257,Love Druggie (Addict) - Jade Blue Remix,192,586,,0
258,Eruption,363482,1450690,,102000
259,Set It,1611,5792,,271000
260,I Fought the Law,405160,2056195,,146000
261,Never Seen This Before,1010,3580,,207000
262,Mob Rule,828,3545,,161000
263,Glad All Over,2693,5225,,150000
264,N.I.B.,320614,1764353,,367000
265,The Renegade - Radio Edit,2328,6673,,0
266,Do Anything You Wanna Do - Single Edit,2928,5982,,0
267,Viceroy,9334,37084,,195000
268,Seven Nation Army,1378141,10531456,,231000
269,Chelsea Dagger,751866,4552190,,215000
270,Woman,650185,3586763,,148000
271,"Two Steps, Twice",229600,1599540,,279000
272,Cake,613,1384,,170000
273,Oh Well - Live Version,1651,3034,,0
274,Silver Machine - Original Single Version;Live At The Roundhouse London; 1996 Remastered Version,18787,34535,,280000
275,Growing on Me,151575,720229,,209000
276,Johnny B. Goode,602604,2663986,,156000
277,Hit Me With Your Rhythm Stick,18385,59845,,222000
278,Better Off Without You,3668,11763,,176000
279,Detroit Rock City,380834,1918339,,397000
280,Fangs,8837,43646,,155000
281,Monkey,1790,5270,,219000
282,Alice Come Home,1817,3755,,0
283,Spinning Wheel,4058,13997,,206000
284,Is This What You Wanted?,2993,5653,,268000
285,All This Way,2973,8294,,208000
286,Egg,5420,23597,,184000
287,Sucker,6210,21380,,221000
288,Heel / Heal,2491,5606,,0
289,All My Pride,7350,28666,,161000
290,To the Door,1540,3859,,0
291,Is This What You Wanted?,2993,5653,,268000
292,Stained,1223,2686,,197000
293,Music!,464,1044,,289000
294,To the Door,1540,3859,,0
295,Stained,1223,2686,,197000
296,Music!,464,1044,,289000
297,Is This What You Wanted?,2993,5653,,268000
298,To the Door,1540,3859,,0
299,Needle In A Haystack - Single Version,18557,43199,,0
300,Dancing in the Street,209903,642932,,162000
301,My Guy,213869,641871,,172000
302,You Can't Hurry Love,252928,916382,,187000
303,I Only Want To Be With You,114517,434630,,155000
304,I'd Rather Go Blind - Single Version,35163,99875,,0
305,Try a Little Tenderness,318208,1323549,,227000
306,It Takes Two,71610,180508,,199000
307,Master Blaster (Jammin'),156240,540811,,290000
308,Let's Stay Together,629437,2937331,,285000
309,You Shook Me All Night Long,749571,5500834,,209000
310,Gettin' Tighter - 2010 Digital Remaster,2275,4536,,0
311,Juke Box Hero,210281,805071,,258000
312,Jump,631074,2906434,,244000
313,Pour Some Sugar On Me (2012),106932,372940,,261000
314,Freedom Rider - Remastered,1567,2653,,0
315,Feed My Frankenstein,134985,519164,,284000
316,Gimme All Your Lovin',288611,1158640,,244000
317,Come On (Let the Good Times Roll),47663,147751,,250000
318,Crazy on You,274366,1202942,,391000
319,One of These Nights,241445,942635,,291000
320,Maneater - Remastered,49948,149011,,0
321,Paint It Black,1150429,6788819,,200000
322,The Chain,431414,2568346,,268000
323,If This Is It,72918,251863,,226000
324,Have a Drink on Me,398019,1806352,,237000
325,For What It's Worth,629014,3241325,,180000
326,Double Vision,139195,451458,,209000
327,Piano Man,555124,2841843,,353000
328,Burnout,315060,1440735,,127000
329,Loco,144728,504893,,254000
330,Lift Me Up (feat. Rob Halford of Judas Priest),41481,292107,,246000
331,Chiron,101882,693666,,264000
332,Bodies,664047,3399773,,202000
333,Cigaro,567438,3780170,,131000
334,Sure And Certain,30997,114754,,215000
335,Worry Rock,124599,557601,,147000
336,Gives You Hell,598484,4264006,,213000
337,Number 1,45092,351521,,213000
338,Smash TV,77368,378268,,221000
339,New Flows,1371,3156,,373000
340,Proteus,3057,9860,,86000
341,German Whip,5913,23736,,195000
342,Test Me,5049,19870,,249000
343,Shutdown,53680,288329,,188000
344,Power,101,657,,167000
345,Return Of The Rucksack,8012,22019,,184000
346,"In Skengs We Trust (feat. Asap, Monkey & Ld)",106,231,,0
347,Round & Round,295,617,,183000
348,It Remembers,8153,37732,,223000
349,11:11,4653,15557,,245000
350,Hurricane,6379,34294,,285000
351,You Really Got Me - Mono Mix,3427,6447,,0
352,Happy Song,89437,877780,,239000
353,Bad Reputation,81534,462360,,165000
354,Destroyed By Hippie Powers,35797,170857,,303000
355,I'm Not Your Girl,3062,7770,,169000
356,Fake My Own Death,29240,130473,,194000
357,Go Outside,4509,11481,,228000
358,Itch,31834,201919,,204000
359,Flagpole Sitta,2512,8013,,212000
360,Something More Original,4694,9698,,174000
361,D'You Know What I Mean? - NG's 2016 Rethink,3025,6846,,0
362,Silk,34331,205487,,244000
363,NO CD,6225,21418,,258000
364,That Dress,2738,5486,,188000
365,Gunning for You,331,757,,0
366,Afraid of Heights,28660,128749,,226000
367,All This Way,2973,8294,,208000
368,Sledgehammer,252880,1157056,,301000
369,Nancy Boy,365303,2444643,,199000
370,The Rocker,1272,2155,,307000
371,Speak,1800,4229,,183000
372,Loser,10391,56042,,239000
373,With or Without You,970036,6341829,,293000
374,Welcome to the Jungle,1168547,7313084,,271000
375,All Right Now,390323,1573602,,329000
376,Let the Good Times Roll,62331,146621,,171000
377,Double Vision,139195,451458,,209000
378,Honky Tonk Women - Mono Version,39137,97660,,0
379,Gimme All Your Lovin',288611,1158640,,244000
380,Maneater - Remastered,49948,149011,,0
381,You Shook Me All Night Long,749571,5500834,,209000
382,Roxanne,752330,3719616,,193000
383,Lay Me Bare,6003,16399,,304000
384,Shut Up,14912,57987,,180000
385,Crazy Titch - Interlude,3616,6885,,0
386,Don't Cry For Me (feat. Raleigh Ritchie),6093,15789,,214000
387,100 Bags,6393,16596,,217000
388,Return Of The Rucksack,8012,22019,,184000
389,"Blinded By Your Grace, Pt. 2 (feat. MNEK)",8298,25494,,231000
390,21 Gun Salute (feat. Wretch 32) - Interlude,4850,11920,,0
391,Cigarettes & Cush (feat. Kehlani),12038,32855,,350000
392,Mr Skeng,9425,28094,,197000
393,Velvet / Jenny Francis - Interlude,5793,15298,,0
394,Big For Your Boots,22498,98100,,238000
395,"Blinded By Your Grace, Pt. 1",8808,21680,,161000
396,Bad Boys (feat. Ghetts and J Hus),9053,25542,,247000
397,Cold,14333,45820,,156000
398,First Things First,12083,34603,,207000
399,That's Not Me,25017,129019,,185000
400,Graceland,276127,1299581,,288000
401,The Only Living Boy in New York,468589,2499139,,237000
402,Keep the Customer Satisfied,167786,636766,,153000
403,You missed a good man,3961,6676,,208000
404,Where Did You Sleep Last Night,42996,122357,,0
405,Morning Light,7542,14380,,220000
406,Ringing in My Ear,28543,98994,,238000
407,Bride,8637,18041,,229000
408,Big Jet Plane,338315,2612605,,239000
409,Only Love,319551,2115232,,249000
410,Sunn,5546,12483,,255000
411,The Rains,9126,15678,,211000
412,Way Down We Go,112680,624231,,220000
413,Stay Alive,160803,799378,,267000
414,"Can’t Let Go, Juno",20268,57382,,0
415,Real Peach,18881,38813,,233000
416,Hold On,337540,1885589,,228000
417,I Need Never Get Old,34180,125475,,254000
418,Wish I Knew You,22367,80273,,274000
419,Shovels & Dirt,18141,49549,,241000
420,Biloxi,6837,19754,,171000
421,Revolution (feat. First Aid Kit),7265,14546,,235000
422,Shaky Ground,20963,50866,,193000
423,Keep the Customer Satisfied,167786,636766,,153000
424,The Obvious Child,92948,405538,,250000
425,Rhythm & Blues,15561,44901,,240000
426,Sedona,71914,285936,,239000
427,Dusty Trails,15904,36370,,264000
428,Lost In The Light,125177,517919,,236000
429,Should Have Known Better,200308,1333976,,307000
430,Mykonos,592877,4096599,,275000
431,Things Happen,59141,170833,,243000
432,Every Time the Sun Comes Up,106373,423293,,262000
433,Don't Tell Our Friends About Me,47900,113685,,320000
434,Love Ain't Enough,65887,181778,,291000
435,REAL LOVE BABY,49484,184214,,189000
436,Tomorrow,14388,39920,,216000
437,Surefire,8647,20855,,243000
438,Other Towns and Cities,61084,279171,,239000
439,Forests And Sands,67500,359267,,256000
440,My Maudlin Career,84816,487053,,259000
441,Careless Love,75997,385672,,275000
442,James,83496,465967,,230000
443,Swans,83815,453798,,239000
444,Away With Murder,86410,451010,,248000
445,You Told a Lie,91977,499089,,225000
446,The Sweetest Thing,146354,816683,,263000
447,French Navy,218398,1669937,,196000
448,Honey in the Sun,79274,429371,,344000
449,Let's Get Out of This Country,162473,916801,,201000
450,This Is Love (Feels Alright),46134,167681,,210000
451,Forests & Sands,9571,38307,,0
452,"Lloyd, I'm Ready To Be Heartbroken",224816,1426524,,228000
453,The Sweetest Thing,146354,816683,,263000
454,French Navy,218398,1669937,,196000
455,Some People Say,11081,49969,,223000
456,Europe,12629,58641,,235000
457,Capricornia,16743,80755,,271000
458,Neil Armstrong,13648,55448,,214000
459,Fake Plastic Trees,1011998,7806834,,290000
460,The Tourist,674540,3814317,,324000
461,Lucky,852015,5822373,,259000
462,No Surprises,1232623,9772486,,229000
463,Climbing Up the Walls,736573,4682101,,285000
464,Electioneering,730554,4247905,,230000
465,Fitter Happier,677211,3580155,,117000
466,Karma Police,1542080,13167351,,261000
467,Let Down,881603,6241830,,299000
468,Lucky,852015,5822373,,259000
469,No Surprises,1232623,9772486,,229000
470,Northern Lights,13342,53795,,186000
471,Some People Say,11081,49969,,223000
472,Europe,12629,58641,,235000
473,Capricornia,16743,80755,,271000
474,Neil Armstrong,13648,55448,,214000
475,Sad Sad Feet,15282,40243,,213000
476,Child of God,4805,15161,,222000
477,Call the days,19673,39330,,213000
478,Damn Sure,9280,21383,,248000
479,Fruits Of My Labor,25287,77059,,281000
480,Bashed Out,23514,60216,,221000
481,To Begin,19531,61920,,214000
482,Child of God,4805,15161,,222000
