,Tags,Frequency
0,0,1322
1,1,45769
2,2,1200
3,3,3307
4,4,17133
5,5,1354
6,6,5017
7,7,5257
8,8,23689
9,9,15496
10,10,25507
11,11,9759
12,12,1382
13,13,1163
14,14,30951
15,15,1426
16,16,1334
17,17,1222
18,18,1239
19,19,3012
20,20,1173
21,21,1488
22,22,1626
23,23,1741
24,24,5629
25,25,1163
26,26,1659
27,27,1887
28,28,2180
29,29,1744
30,30,1760
31,31,1974
32,32,1766
33,33,1847
34,34,1850
35,35,3953
36,36,2176
37,37,1882
38,38,2193
39,39,2448
40,40,2027
41,41,2017
42,42,2002
43,43,2057
44,44,1999
45,45,1293
46,46,2443
47,47,11617
48,48,2806
49,49,2368
50,50,3208
51,51,3134
52,52,3392
53,53,3336
54,54,4687
55,55,5357
56,56,1393
57,57,5732
58,58,1329
59,59,5882
60,60,1689
61,61,15768
62,62,6549
63,63,1602
64,64,8617
65,65,3065
66,66,1459
67,67,8489
68,68,3633
69,69,1852
70,70,8227
71,71,1186
72,72,3760
73,73,3686
74,74,7142
75,75,2054
76,76,4260
77,77,5217
78,78,5482
79,79,2509
80,80,2771
81,81,4359
82,82,4040
83,83,2193
84,84,2858
85,85,7071
86,86,3715
87,87,4481
88,88,7568
89,89,4363
90,90,1722
91,91,1695
92,92,2860
93,93,4470
94,94,1546
95,95,1220
96,96,10589
97,97,1383
98,98,22278
99,99,1689
100,100,3088
101,101,40541
102,102,2591
103,103,3377
104,104,4511
105,105,2219
106,106,3946
107,107,4400
108,108,39095
109,109,1287
110,110,1431
111,111,4065
112,112,12334
113,113,2545
114,114,1974
115,115,1448
116,116,1190
117,117,1675
118,118,3051
119,119,1698
120,120,1614
121,121,24185
122,122,1351
123,123,1507
124,124,4661
125,125,2505
126,126,2211
127,127,1676
128,128,3911
129,129,6870
130,130,4843
131,131,1208
132,132,4443
133,133,2020
134,134,1540
135,135,1400
136,136,1497
137,137,4602
138,138,2089
139,139,4500
140,140,1958
141,141,110901
142,142,1535
143,143,2882
144,144,1501
145,145,1932
146,146,20039
147,147,4508
148,148,1164
149,149,6594
150,150,1197
151,151,74408
152,152,5611
153,153,33920
154,154,1458
155,155,1661
156,156,29178
157,157,2743
158,158,7693
159,159,64895
160,160,1719
161,161,1635
162,162,1856
163,163,3833
164,164,1582
165,165,1771
166,166,2914
167,167,8146
168,168,1429
169,169,8025
170,170,1211
171,171,1262
172,172,1620
173,173,4524
174,174,1245
175,175,1204
176,176,1713
177,177,1749
178,178,5261
179,179,2717
180,180,11397
181,181,1562
182,182,3714
183,183,3521
184,184,1545
185,185,1202
186,186,3293
187,187,1368
188,188,40212
189,189,27737
190,190,7352
191,191,1785
192,192,4464
193,193,1927
194,194,1443
195,195,4376
196,196,2029
197,197,8503
198,198,2447
199,199,2067
200,200,80885
201,201,29430
202,202,4803
203,203,1735
204,204,1510
205,205,2893
206,206,4124
207,207,1371
208,208,20599
209,209,1910
210,210,4403
211,211,4804
212,212,4134
213,213,1495
214,214,2201
215,215,1265
216,216,3562
217,217,6791
218,218,4216
219,219,1333
220,220,2304
221,221,6652
222,222,1664
223,223,2146
224,224,1946
225,225,65903
226,226,1201
227,227,1495
228,228,9820
229,229,6330
230,230,5520
231,231,1492
232,232,3885
233,233,4356
234,234,5222
235,235,4710
236,236,1219
237,237,2011
238,238,1224
239,239,6413
240,240,39901
241,241,1290
242,242,1277
243,243,4552
244,244,3987
245,245,3051
246,246,1580
247,247,1596
248,248,2744
249,249,2979
250,250,1308
251,251,1965
252,252,2289
253,253,4642
254,254,1757
255,255,4998
256,256,1131
257,257,1310
258,258,2884
259,259,2522
260,260,1515
261,261,13498
262,262,10324
263,263,2648
264,264,1950
265,265,1608
266,266,1155
267,267,4976
268,268,3004
269,269,5073
270,270,1426
271,271,1530
272,272,1266
273,273,10338
274,274,1592
275,275,2311
276,276,3255
277,277,47865
278,278,1559
279,279,1482
280,280,1224
281,281,1816
282,282,3300
283,283,5001
284,284,1853
285,285,4696
286,286,3795
287,287,14309
288,288,1844
289,289,1361
290,290,4505
291,291,8569
292,292,1553
293,293,1652
294,294,6525
295,295,8259
296,296,2769
297,297,8513
298,298,28897
299,299,2498
300,300,2684
301,301,1291
302,302,41587
303,303,2852
304,304,1670
305,305,39777
306,306,1370
307,307,1448
308,308,1896
309,309,1392
310,310,1225
311,311,1464
312,312,1587
313,313,33413
314,314,2821
315,315,3033
316,316,10170
317,317,1221
318,318,48847
319,319,4406
320,320,1469
321,321,3459
322,322,1225
323,323,3995
324,324,1491
325,325,1733
326,326,1297
327,327,1314
328,328,1440
329,329,1581
330,330,1455
331,331,2528
332,332,3210
333,333,27494
334,334,2370
335,335,5122
336,336,1640
337,337,10322
338,338,1210
339,339,2426
340,340,5848
341,341,1183
342,342,2550
343,343,1480
344,344,2603
345,345,4172
346,346,3331
347,347,1406
348,348,1665
349,349,5158
350,350,37983
351,351,2671
352,352,5508
353,353,4767
354,354,1945
355,355,27341
356,356,1937
357,357,2627
358,358,5907
359,359,1162
360,360,2051
361,361,2419
362,362,10257
363,363,3311
364,364,1759
365,365,2495
366,366,9793
367,367,1096
368,368,2684
369,369,1987
370,370,19413
371,371,37842
372,372,5821
373,373,6021
374,374,2694
375,375,7038
376,376,921
377,377,4314
378,378,2589
379,379,2344
380,380,2041
381,381,1218
382,382,4612
383,383,2645
384,384,6071
385,385,1232
386,386,3011
387,387,2846
388,388,1315
389,389,6941
390,390,2109
391,391,7788
392,392,2611
393,393,20357
394,394,1494
395,395,1488
396,396,1932
397,397,1902
398,398,11871
399,399,2367
400,400,1978
401,401,9092
402,402,1708
403,403,15957
404,404,9486
405,405,2702
406,406,2910
407,407,5290
408,408,2007
409,409,2493
410,410,2940
411,411,1738
412,412,1774
413,413,1402
414,414,5144
415,415,1973
416,416,15223
417,417,2601
418,418,1534
419,419,3454
420,420,2114
421,421,1212
422,422,1598
423,423,14259
424,424,1455
425,425,1871
426,426,1322
427,427,1634
428,428,57867
429,429,1283
430,430,2410
431,431,23811
432,432,12982
433,433,2563
434,434,17642
435,435,2908
436,436,12470
437,437,13288
438,438,5171
439,439,4639
440,440,7552
441,441,3862
442,442,49796
443,443,7155
444,444,1637
445,445,9456
446,446,1424
447,447,1553
448,448,2743
449,449,2427
450,450,38551
451,451,1702
452,452,8385
453,453,6328
454,454,1257
455,455,2037
456,456,3218
457,457,1414
458,458,2598
459,459,1959
460,460,1522
461,461,4269
462,462,9931
463,463,2410
464,464,1716
465,465,2901
466,466,39884
467,467,1446
468,468,2264
469,469,34823
470,470,2281
471,471,89591
472,472,3364
473,473,27580
474,474,19137
475,475,2295
476,476,35528
477,477,1364
478,478,4676
479,479,1684
480,480,1422
481,481,7088
482,482,1943
483,483,12847
484,484,7734
485,485,3945
486,486,22815
487,487,46545
488,488,11430
489,489,1357
490,490,4159
491,491,7549
492,492,4850
493,493,9075
494,494,1208
495,495,1674
496,496,1457
497,497,1711
498,498,1991
499,499,2623
500,500,26670
501,501,4500
502,502,11587
503,503,1161
504,504,9006
505,505,2793
506,506,1278
507,507,2253
508,508,1805
509,509,5520
510,510,2035
511,511,1315
512,512,2270
513,513,1885
514,514,1541
515,515,1156
516,516,17580
517,517,12375
518,518,1594
519,519,1930
520,520,7605
521,521,3632
522,522,2418
523,523,1492
524,524,1577
525,525,2258
526,526,1859
527,527,3102
528,528,1208
529,529,6799
530,530,1333
531,531,3300
532,532,1337
533,533,7479
534,534,9170
535,535,2766
536,536,3789
537,537,1328
538,538,1482
539,539,3571
540,540,4048
541,541,8778
542,542,1720
543,543,1196
544,544,9866
545,545,1906
546,546,3577
547,547,4540
548,548,2334
549,549,1806
550,550,9006
551,551,1683
552,552,3808
553,553,1992
554,554,18936
555,555,16411
556,556,1557
557,557,11269
558,558,12744
559,559,1739
560,560,13138
561,561,1523
562,562,2319
563,563,6494
564,564,3197
565,565,5800
566,566,4781
567,567,5352
568,568,5825
569,569,12769
570,570,1399
571,571,1461
572,572,5956
573,573,5252
574,574,31871
575,575,3902
576,576,5295
577,577,5097
578,578,6544
579,579,2680
580,580,1978
581,581,2089
582,582,17546
583,583,1908
584,584,5833
585,585,63253
586,586,20198
587,587,2503
588,588,1687
589,589,4357
590,590,1609
591,591,8889
592,592,3329
593,593,14583
594,594,2217
595,595,1910
596,596,17076
597,597,67124
598,598,3100
599,599,2502
600,600,7536
601,601,14842
602,602,19809
603,603,1572
604,604,4499
605,605,2075
606,606,1418
607,607,3568
608,608,1182
609,609,5452
610,610,1801
611,611,1253
612,612,5807
613,613,7150
614,614,1577
615,615,1217
616,616,4103
617,617,2034
618,618,1812
619,619,2750
620,620,3303
621,621,1821
622,622,3423
623,623,74697
624,624,25531
625,625,44320
626,626,1299
627,627,5339
628,628,14603
629,629,6854
630,630,4458
631,631,1358
632,632,1731
633,633,2041
634,634,24510
635,635,2264
636,636,6202
637,637,1351
638,638,2984
639,639,2150
640,640,2739
641,641,2001
642,642,12284
643,643,1593
644,644,1783
645,645,1568
646,646,1607
647,647,3509
648,648,12711
649,649,1494
650,650,1247
651,651,1421
652,652,2534
653,653,2226
654,654,3046
655,655,1316
656,656,1182
657,657,1532
658,658,1158
659,659,1780
660,660,1813
661,661,1709
662,662,1750
663,663,2626
664,664,3325
665,665,5739
666,666,1917
667,667,1239
668,668,1412
669,669,3136
670,670,4712
671,671,2086
672,672,1175
673,673,11068
674,674,1429
675,675,70707
676,676,6462
677,677,1352
678,678,1528
679,679,2713
680,680,6499
681,681,65988
682,682,4274
683,683,7812
684,684,18911
685,685,7290
686,686,1346
687,687,2922
688,688,2019
689,689,1374
690,690,2936
691,691,2154
692,692,24029
693,693,49681
694,694,4671
695,695,1800
696,696,1188
697,697,21004
698,698,1591
699,699,1255
700,700,1977
701,701,1965
702,702,2579
703,703,6495
704,704,33284
705,705,28755
706,706,33958
707,707,12873
708,708,16545
709,709,2517
710,710,2081
711,711,2282
712,712,14270
713,713,1966
714,714,118006
715,715,1197
716,716,1288
717,717,1761
718,718,11598
719,719,2316
720,720,3031
721,721,1696
722,722,6658
723,723,1252
724,724,2925
725,725,20833
726,726,2451
727,727,1665
728,728,31837
729,729,1664
730,730,1504
731,731,2648
732,732,2492
733,733,15770
734,734,3581
735,735,7439
736,736,13268
737,737,2601
738,738,28809
739,739,5588
740,740,4513
741,741,8387
742,742,13260
743,743,3260
744,744,3062
745,745,1728
746,746,2977
747,747,4363
748,748,1986
749,749,1166
750,750,2972
751,751,1733
752,752,2102
753,753,6334
754,754,13679
755,755,1645
756,756,1998
757,757,2172
758,758,1419
759,759,2332
760,760,4891
761,761,3168
762,762,1481
763,763,17167
764,764,4137
765,765,7126
766,766,5040
767,767,5837
768,768,1663
769,769,2404
770,770,4354
771,771,6117
772,772,8153
773,773,5817
774,774,2925
775,775,5689
776,776,1455
777,777,4770
778,778,2121
779,779,1251
780,780,1682
781,781,1292
782,782,9095
783,783,17820
784,784,1921
785,785,2662
786,786,1393
787,787,1757
788,788,2472
789,789,3411
790,790,1232
791,791,1826
792,792,3580
793,793,2457
794,794,1928
795,795,23761
796,796,1494
797,797,12334
798,798,4488
799,799,15794
800,800,1941
801,801,1927
802,802,1309
803,803,4571
804,804,5609
805,805,94984
806,806,3452
807,807,2529
808,808,7156
809,809,26671
810,810,6243
811,811,1411
812,812,2717
813,813,4522
814,814,2883
815,815,1301
816,816,5391
817,817,4659
818,818,4278
819,819,7163
820,820,3760
821,821,1252
822,822,17631
823,823,1817
824,824,13236
825,825,4033
826,826,1641
827,827,6428
828,828,1454
829,829,1270
830,830,2269
831,831,1563
832,832,4024
833,833,3687
834,834,1979
835,835,21575
836,836,33494
837,837,1640
838,838,25335
839,839,15487
840,840,31131
841,841,19396
842,842,1318
843,843,1373
844,844,1564
845,845,3406
846,846,1242
847,847,2299
848,848,2936
849,849,8102
850,850,1630
851,851,1977
852,852,2454
853,853,1550
854,854,1508
855,855,16220
856,856,2324
857,857,1210
858,858,1964
859,859,4117
860,860,1620
861,861,11173
862,862,12679
863,863,1416
864,864,4953
865,865,1715
866,866,1166
867,867,13653
868,868,1830
869,869,153014
870,870,1563
871,871,1383
872,872,1326
873,873,12582
874,874,2842
875,875,4321
876,876,8153
877,877,1191
878,878,4343
879,879,1541
880,880,1577
881,881,2366
882,882,12216
883,883,1154
884,884,1199
885,885,2221
886,886,33025
887,887,1871
888,888,1478
889,889,2388
890,890,2865
891,891,2094
892,892,5550
893,893,2372
894,894,5644
895,895,3137
896,896,1202
897,897,2750
898,898,1830
899,899,8948
900,900,27085
901,901,4113
902,902,8627
903,903,1456
904,904,1268
905,905,2950
906,906,28667
907,907,1396
908,908,2267
909,909,2877
910,910,3837
911,911,1414
912,912,2652
913,913,3259
914,914,2790
915,915,9629
916,916,3805
917,917,5904
918,918,2348
919,919,6277
920,920,1527
921,921,7026
922,922,1515
923,923,1403
924,924,17165
925,925,1636
926,926,1472
927,927,19914
928,928,2060
929,929,1782
930,930,2000
931,931,2268
932,932,1520
933,933,1221
934,934,1790
935,935,3273
936,936,1179
937,937,3101
938,938,1591
939,939,1285
940,940,1434
941,941,15428
942,942,4249
943,943,1366
944,944,1440
945,945,1448
946,946,1205
947,947,7985
948,948,14003
949,949,7072
950,950,1421
951,951,3666
952,952,5853
953,953,1996
954,954,16664
955,955,1337
956,956,1519
957,957,6245
958,958,1698
959,959,2925
960,960,1259
961,961,12072
962,962,2031
963,963,4509
964,964,2691
965,965,3031
966,966,10418
967,967,4114
968,968,2235
969,969,1894
970,970,6907
971,971,1864
972,972,20961
973,973,1209
974,974,1755
975,975,1341
976,976,13764
977,977,5179
978,978,4601
979,979,1768
980,980,18231
981,981,1490
982,982,1235
983,983,1947
984,984,5942
985,985,3049
986,986,6659
987,987,1778
988,988,2798
989,989,5099
990,990,1816
991,991,1411
992,992,1715
993,993,8613
994,994,2432
995,995,3827
996,996,1424
997,997,1354
998,998,1576
999,999,1418
